"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3744.79/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xee18f6342683fdf60bbb57abc1f00e607ed034427a722268c939c3e10e645c73","13717847","1638316845","2021-12-01 00:00:45","0xc5768666e0c435be9aef7b971da0c8b53a0b7e76","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0.01","0","37.4479","0.015318742132141074","57.3654723490206","4580.57","","","Swap Exact ETH For Tokens",""
"0x51677a40b48456b15cce7e399c69d169c7a032beb951e9d3afc9d07414e5990c","13717847","1638316845","2021-12-01 00:00:45","0x292c13392fafc0d16dc45586eb317a038dd94d36","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.013133844977575627","49.1834913335754","4580.57","","","Swap Exact Tokens For ETH",""
"0xff0d2e021d59bb7d471ee3e3ecddd5ef679c4b7433f0ae070beb3dfdd6811d4e","13717849","1638316877","2021-12-01 00:01:17","0x59227430ac7bfd9ff9fd34e8085d4327bc2e3b24","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.036505487259282965","136.70538363369","4580.57","","","Swap Exact Tokens For Tokens",""
"0x0844b05ef2d68f509e495d2564ecba8f9eec1c7feb038421bb55e188a52d06a7","13717849","1638316877","2021-12-01 00:01:17","0xc503f6e4afff100269b7076ca46c72604baf3aee","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","6.479973480447863808","0","24266.1398898464","0.019793741644407276","74.1234057725599","4580.57","","","Swap ETH For Exact Tokens",""
"0xd086dc6c6990016b8bfbb2959bade7c4b15e1feaf54769e7c05296bb3dbf5bc8","13717849","1638316877","2021-12-01 00:01:17","0xcba1a275e2d858ecffaf7a87f606f74b719a8a93","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.017671027188450855","66.1742859050389","4580.57","","","Swap Exact Tokens For Tokens",""
"0x6b8035d6e2306f6b25995018c3cdb27fd9e2c927cfda854489df5d3a3e55e53b","13717850","1638316917","2021-12-01 00:01:57","0x82ee15e7c0c923e512eb0c554a50e08254ebd660","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.018847827357407562","70.5811554097463","4580.57","","","Swap Exact Tokens For Tokens",""
"0x9066c66bc8e97cc2d12d1ffa3bd054c9998f9068e350bc92885d482b2a657403","13717850","1638316917","2021-12-01 00:01:57","0xc683915268e712f9960ce59736a32119165cc962","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.00622843414727238","23.3241779103641","4580.57","Error(0)","Reverted","Swap Exact Tokens For Tokens",""
"0x4553a160b50543c3d1dedd5407a5ffdc88a989bb0be12ef8b8c22f2ecf1034ab","13717851","1638316949","2021-12-01 00:02:29","0x228ca98fcba4c5dd506b3ff59309f8ff72d10f9a","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","8.680999999999998976","0","32508.52199","0.00615572275915256","23.0518890312469","4580.57","Error(0)","Reverted","Swap Exact ETH For Tokens",""
"0x828eeb190142c8ac98d92f3c2e0ca4952b47080665ac1007983feacf1fe1fde0","13717851","1638316949","2021-12-01 00:02:29","0x7ba178fe710dea2034b94f21206811b8493644d0","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","18.3","0","68529.657","0.02174695647613188","81.4377851422539","4580.57","","","Swap Exact ETH For Tokens",""
"0xc1119d922a8546890f64ee4ce33fc3d7ade5b3b5633d6bbaf08a9b69e5d31cbd","13717852","1638316957","2021-12-01 00:02:37","0xd13818ff5176def704172bcadc1ac4c1d5399e58","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","23","0","86130.17","0.0294799479954336","110.39621445382","4580.57","","","Add Liquidity ETH",""
"0xd09aa9bf073db264ba782384421f66b6627e32d98c775b6bc751798260b6b29c","13717854","1638316974","2021-12-01 00:02:54","0x17fb66371e76b0c5fff28968c6b7dd9752957af1","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","3","0","11234.37","0.02719442","101.8373920718","4580.57","","","Swap Exact ETH For Tokens",""
"0xc51e962b67be86fa82d1b56d70713cafaaa936a328cf73245eccc7456f3c35f5","13717854","1638316974","2021-12-01 00:02:54","0x616fda2af393d57198245846b51be45a946fb7cc","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","5.1","0","19098.429","0.016214622982433319","60.7203579983865","4580.57","","","Swap Exact ETH For Tokens",""
"0x7a594555f35190d285064411b713b3769aa70a60234be85ac0ff53861509280b","13717854","1638316974","2021-12-01 00:02:54","0xc683915268e712f9960ce59736a32119165cc962","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.025043473083884792","93.7825475698009","4580.57","","","Swap Exact Tokens For Tokens",""
"0x75c28691833af8deffe05dac713b7a1a21f1ba543de8dda2b15d85448ee436b9","13717856","1638317008","2021-12-01 00:03:28","0xc503f6e4afff100269b7076ca46c72604baf3aee","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","5.406017992072305664","0","20244.4021165324","0.00586296503963622","21.9555728507793","4580.57","Error(0)","Reverted","Swap ETH For Exact Tokens",""
"0x7d06d3b4ec6d4806f51d64b3e1b96622eafee81de773979927c1c398b6cd21d9","13717856","1638317008","2021-12-01 00:03:28","0x8f14c80386b17e74af457e7fdd724591632c2238","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.02523139675876527","94.4862822682566","4580.57","","","Swap Exact Tokens For Tokens",""
"0x1cfe6f2af0a6c41ab955b6c1a0af2401ebaf5ae50fec8aab9e71b3dfa9c56a21","13717857","1638317018","2021-12-01 00:03:38","0x68de42ae289851cdd118c292b40d6d97c498f66f","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0.08","0","299.5832","0.018587959643070226","69.6080053917729","4580.57","","","Swap Exact ETH For Tokens",""
"0x994c8dc7db75824abec3601d913179c5c82d819c0d52d16858f41bf334f8f07f","13717857","1638317018","2021-12-01 00:03:38","0x044d38d026b85de2caf6fc4d3a686e2018155246","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.025021528934550904","93.7003713388169","4580.57","","","Swap Exact Tokens For Tokens",""
"0xfd7907360f7630826d9ff10cc3cfcdd3a64080e0ee6ca0c9845fa2845d9ee2f5","13717857","1638317018","2021-12-01 00:03:38","0x0bc6f38c9c7cbd47de2901fff7fed5923afa83e6","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0.04","0","149.7916","0.01794576870305905","67.2031351815285","4580.57","","","Swap Exact ETH For Tokens",""
"0x82e7f64986c348d3e60acd8c95bf235589cb6936d0d42043202c62ac0a0c1fef","13717860","1638317035","2021-12-01 00:03:55","0x6e90ae41af1dea6f0006aa7752d9db2cf5e6a49f","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","20.120377773011199292","0","75346.5894805946","0.019124686700091215","71.6179355076346","4580.57","","","Swap ETH For Exact Tokens",""
"0xf7ab42300b42f1081a5937861cfc88b891cdc6a7c05dcc41104159e1b4426be5","13717860","1638317035","2021-12-01 00:03:55","0x1018142957a9509f0f0f69c1d380a369ace15db3","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","7.5","0","28085.925","0.017023378520676988","63.748977650446","4580.57","","","Swap Exact ETH For Tokens",""
"0xc070913e36019eff57367ba59ad66483cb1c17e7b3ec649ecd9ca558676b5a08","13717863","1638317110","2021-12-01 00:05:10","0x28c5fa15aea134a25fcab5eaaca2dedde95a4c15","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0.45","0","1685.1555","0.019021116892023477","71.2300883260806","4580.57","","","Swap Exact ETH For Tokens",""
"0x01e3d4e91334a3b211f0d8e10037662da7eafee29e88e535cc913fa4e4e2284f","13717866","1638317158","2021-12-01 00:05:58","0xa3b83d0e2f3d2c675439188ef1aa13d1c6abca16","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.018610432118065593","69.6921600914108","4580.57","","","Swap Exact Tokens For Tokens",""
"0xac1c17caf721de9dff9d9b3ac527b969b0d5c301315cb7bc56389b838bf234e7","13717867","1638317198","2021-12-01 00:06:38","0x9272b16e278051ed961886e67bf31b45e2d8cb66","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.021429329864669706","80.2483401839165","4580.57","","","Swap Exact Tokens For Tokens",""
"0xa6b1d081c66123c28ba4cf80107f771bdce1f0fedea6e0f77dd1ab88f7eecec6","13717869","1638317213","2021-12-01 00:06:53","0x774decb91c1d20b807847a397713dc54290a9b9f","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.00836654224","31.3309437149296","4580.57","Error(0)","Reverted","Swap Tokens For Exact ETH",""
"0x8db01f21c957a2f494fdd6bfc803f6606f7321f67238b479280f9da29afe02d9","13717869","1638317213","2021-12-01 00:06:53","0x5b4672cffee5e64a2a7d17c157abdb4edffbe3df","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.028220706885345876","105.680620937174","4580.57","","","Swap Exact Tokens For ETH",""
"0x4532f87a5613dbf9ff25ebb947edfa6cb26cd79d549df8178f0789bd2cedf076","13717870","1638317228","2021-12-01 00:07:08","0x0f4ee9631f4be0a63756515141281a3e2b293bbe","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.025417035841501746","95.1814616488973","4580.57","","","Swap Exact Tokens For Tokens",""
"0x7b2b87e0a02be404d383960a15d00f9189c04758d447d3b38393bc5dca687d61","13717870","1638317228","2021-12-01 00:07:08","0x3eae56964b8ce1cb52f395444c0f89577bd6bb49","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","5.444986348314813533","0","20390.3304273058","0.0206519328880875","77.3371517599812","4580.57","","","Swap ETH For Exact Tokens",""
"0x2443c45ab00064f5f2538f037251b5314a679c4198783584f203465c0f4ff9e4","13717871","1638317285","2021-12-01 00:08:05","0x82ee15e7c0c923e512eb0c554a50e08254ebd660","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.022856970262818846","85.5945536705014","4580.57","","","Swap Exact Tokens For Tokens",""
"0x9493fdba1c4b8e570af89f68d0f9fb06fac13cf70a6a757a5aaa57e072b155ec","13717871","1638317285","2021-12-01 00:08:05","0x0ae5f2deeaa313faa4a5d187328985d301e37021","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.023137408476840428","86.6447358899873","4580.57","","","Swap Exact Tokens For ETH",""
"0x58b197a46bac118d6cc7c39a586fd9927339fbeb6134facce6b3fbf7f48faa02","13717872","1638317290","2021-12-01 00:08:10","0x98041ab523024dacaefa3bb70dd982dbac68e855","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.023093058732698262","86.4786554116211","4580.57","","","Swap Exact Tokens For ETH",""
"0x86d8899439b0e9500ae7283df01266fc5e5a7b9ff651d92ad8bdfef65de9aea5","13717872","1638317290","2021-12-01 00:08:10","0x98041ab523024dacaefa3bb70dd982dbac68e855","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.024546985400568939","91.9233054581966","4580.57","","","Swap Exact Tokens For ETH",""
"0x34b85732fc64e689aade8cec3572cc9ceb3c9a220dfa6beedc9cd0b2da964f28","13717872","1638317290","2021-12-01 00:08:10","0xc94082ded53d6700b9bdae31c5b01bca8fd30ba4","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","1.275910107","0","4778.01540959253","0.023465727812696876","87.8742228557091","4580.57","","","Swap Exact ETH For Tokens",""
"0x855b36431d441b4c7ebe8ba2323c8162af2d2deeecf0030564288746b096c90a","13717874","1638317341","2021-12-01 00:09:01","0xaa7eec6b62d55db20381af6d8e83210daf59ca77","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","92","0","344520.68","0.03721388517031485","139.358185046943","4580.57","","","Add Liquidity ETH",""
"0x2e1cc96e2dea8514497b40679b3ebfc4e0af74a35d08da0de8e39f4a8cc3bdcd","13717876","1638317372","2021-12-01 00:09:32","0x0f4ee9631f4be0a63756515141281a3e2b293bbe","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.029894887902590451","111.950077268742","4580.57","","","Swap Exact Tokens For Tokens",""
"0x0722734032ad222210ad8bd78fe7611774427b2b5d4cab7101f94445e6a76483","13717877","1638317379","2021-12-01 00:09:39","0xf9de51f17d5ca7c488e490e4ac9f7d502688fea1","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.005310449477124012","19.8865180974392","4580.57","Error(0)","Reverted","Swap Exact Tokens For ETH",""
"0x5428a847cfa300b1f5bc59586c9276c7a33b0bef0f4b01d36efaa0349fe5d7d0","13717879","1638317394","2021-12-01 00:09:54","0x59227430ac7bfd9ff9fd34e8085d4327bc2e3b24","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.022076482253088024","82.6717899765415","4580.57","","","Swap Tokens For Exact Tokens",""
"0xeea6b6418f51e5085795aac5b160d1e7d520838b63c6769fbb3f9f697f72dbdb","13717879","1638317394","2021-12-01 00:09:54","0x434d20f4286711530e945957f77384649c5301a7","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.022791553405396263","85.3495812769939","4580.57","","","Swap Exact Tokens For Tokens",""
"0xc6b3606942b0c48a905d576831921f2f879e18022cd896b0b9658985f0c41494","13717880","1638317422","2021-12-01 00:10:22","0xa3b83d0e2f3d2c675439188ef1aa13d1c6abca16","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.007522790857481539","28.1712719751883","4580.57","Error(0)","Reverted","Swap Exact Tokens For Tokens",""
"0x97616b7a95a4d03ed7a5abb106c5156dfb5addacfa642f82d02711435873f4de","13717880","1638317422","2021-12-01 00:10:22","0x22e6cdddcaa4c7f188c5e9c9be63f955186ffcd1","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.0068922772676475","25.8101309891137","4580.57","Error(0)","Reverted","Swap Exact Tokens For ETH",""
"0xa4781c36c9914aa5c379ecb6672f216211ade5e9904abd57c2ed50569d84193f","13717880","1638317422","2021-12-01 00:10:22","0x6e90ae41af1dea6f0006aa7752d9db2cf5e6a49f","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.021463397211241605","80.3759152426855","4580.57","","","Swap Exact Tokens For ETH",""
"0x70778816e7c01c5191c40a46a4818dae88c432574ebf9e54a9b0328fcf40904c","13717880","1638317422","2021-12-01 00:10:22","0xec251ef8944d07d24efafaf5ebdea17020a49d7a","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.021253696963994313","79.5906318537963","4580.57","","","Swap Exact Tokens For ETH",""
"0x443faea760f1483b69759c8aedd10b5eddb3b23dff9cd904c80ca921d77f84df","13717881","1638317459","2021-12-01 00:10:59","0xc503f6e4afff100269b7076ca46c72604baf3aee","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.006900061486679196","25.8392812547014","4580.57","Error(0)","Reverted","Swap Exact Tokens For ETH",""
"0x8abce25a45b6b6e10067d2bf9dca793b9d1d7f911054ef4dd28dbd1efe0d4a4c","13717881","1638317459","2021-12-01 00:10:59","0xd728ddcd72fe6adc1aa4be913be0684607e06a35","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","1.19","0","4456.3001","0.021032953645937247","78.7639944837694","4580.57","","","Swap Exact ETH For Tokens",""
"0x814b44ed6af2879552b2a2fd3d0e721312661e689294db16ad199370de3605fd","13717881","1638317459","2021-12-01 00:10:59","0xf31835f6481e0bb02d9010a93817d3c65eee6c83","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.033793558848201285","126.549781239156","4580.57","","","Swap Exact Tokens For Tokens",""
"0x214a8c8804caba7782c75c5adfedbcbf87247a2e61415483f984c640507f4bb7","13717881","1638317459","2021-12-01 00:10:59","0xf9de51f17d5ca7c488e490e4ac9f7d502688fea1","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.031796592216838239","119.071560567694","4580.57","","","Swap Exact Tokens For Tokens",""
"0x7b41f1b42c709e966bd09c913259f29f26c35e355ac7c5e12f9c52924445db81","13717882","1638317474","2021-12-01 00:11:14","0xc4505eb9d9aff6975a2e80433a0570feee5f56a3","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.02311237604669377","86.5509946958984","4580.57","","","Swap Exact Tokens For Tokens",""
"0x3cf5168ef76751d2727094cfa208e44ed7d279fab891d52eec0c2243cbfbe302","13717883","1638317507","2021-12-01 00:11:47","0x4f52b520ce7b75ce0f39247f4da5342bcf2a3214","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","6.9","0","25839.051","0.029602255921919688","110.854231953846","4580.57","","","Swap Exact ETH For Tokens",""
